Content_type,canonical_url,description,download_time,h1,h2,image_url,js_link,keywords,og_description,og_title,robot,status,title,url
text/html; charset=UTF-8,https://www.tansel.com.au/,"Storage solutions for every space in your home. Our quality pull out storage made from stainless steel wire are ideal for new or existing cabinets. Australian owned and designed. Tansel have an extensive product range, suitable for DIY or professional installation. Contact the expert team at Tansel today.",0.47602105140686035,    ,Why Tansel ?,,,,"Storage solutions for every space in your home. Our quality pull out storage made from stainless steel wire are ideal for new or existing cabinets. Australian owned and designed. Tansel have an extensive product range, suitable for DIY or professional installation. Contact the expert team at Tansel today.",Pull Out Kitchen Storage For Your Home | Tansel Storage Solutions,,200,Pull Out Kitchen Storage For Your Home | Tansel Storage Solutions,https://www.tansel.com.au/
text/html; charset=utf-8,,,0.22303080558776855,,,,,,,,,200,reCAPTCHA challenge,https://www.google.com/recaptcha/api/fallback?k=6LeT5ccUAAAAAH79aixd0vyz5evhsfNJatnxMMnv
text/html; charset=UTF-8,https://www.tansel.com.au/author/admin/,,1.19417405128479,Author - admin,Top 5 Kitchen Storage Solutions From Under $150,,,,,"admin, Author at Tansel",,200,"admin, Author at Tansel",https://www.tansel.com.au/author/admin/
text/html; charset=utf-8,,,0.23865199089050293,,,,,,,,,200,reCAPTCHA challenge,https://www.google.com/recaptcha/api/fallback?k=6LfRBu0UAAAAAKtz2x1jXqS0TX-zAyeqjH9m_MCW
text/html; charset=utf-8,https://www.youtube.com/watch?v=MT_wTww8wUQ,,0.1530745029449463,An error occurred.,,,,,,,,200,YouTube,https://www.youtube.com/embed/MT_wTww8wUQ?feature=oembed
application/rss+xml; charset=UTF-8,,,0.25137948989868164,,,,,,,,,200,admin – Tansel,https://www.tansel.com.au/author/admin/feed/
text/html; charset=UTF-8,https://www.tansel.com.au/author/admin/page/8/,,0.26313185691833496,Author - admin,Slide Out Baskets For Narrow Cabinets,,,,,"admin, Author at Tansel - Page 8 of 8",,200,"admin, Author at Tansel - Page 8 of 8",https://www.tansel.com.au/author/admin/page/8/
text/html; charset=UTF-8,https://www.tansel.com.au/author/admin/page/2/,,0.5016674995422363,Author - admin,Why Choose Stainless Steel Storage?,,,,,"admin, Author at Tansel - Page 2 of 8",,200,"admin, Author at Tansel - Page 2 of 8",https://www.tansel.com.au/author/admin/page/2/
text/html; charset=UTF-8,https://www.tansel.com.au/2020/03/28/pull-out-broom-storage-for-narrow-spaces/,Storing your broom and other cleaning items in a space efficient way is easy with our pull out solution! Free shipping for all Australian orders over $350. Contact TANSEL for more information and expert advice.,0.5588045120239258,Pull Out Broom Storage For Narrow Spaces,Pull Out Broom Storage For Narrow Spaces,,,,Storing your broom and other cleaning items in a space efficient way is easy with our pull out solution! Free shipping for all Australian orders over $350. Contact TANSEL for more information and expert advice.,Pull Out Broom Storage For Narrow Spaces | TANSEL Storage Solutions,,200,Pull Out Broom Storage For Narrow Spaces | TANSEL Storage Solutions,https://www.tansel.com.au/2020/03/28/pull-out-broom-storage-for-narrow-spaces/
text/html; charset=UTF-8,https://www.tansel.com.au/author/admin/page/7/,,0.434985876083374,Author - admin,Side Slide Racks For Your Shoe Storage Needs,,,,,"admin, Author at Tansel - Page 7 of 8",,200,"admin, Author at Tansel - Page 7 of 8",https://www.tansel.com.au/author/admin/page/7/
